passenger_name,role_hint
"LBJ, Mrs. Johnson, Clinton",
"LBJ, Mrs. Johnson, Cong.",
"LBJ, Mrs. Johnson, Dr.",
"LBJ, Mrs. Johnson, guests, Secretary",
"LBJ, Mrs. Johnson, Mr.",
"LBJ, Mrs. Johnson, Mr. Bob Kintner, Nancy Mahon, Marie Fehmer",secretary to President Johnson
"LBJ, Mrs. Johnson, Mr. William White, Gov. Price Daniel",
"LBJ, Mrs. Johnson, Rita",
"LBJ, Mrs. Johnson, Secretary C. R. Smith, Cong.",
"LBJ, Secretary of Navy, in honor of Marine of Mexico",
"LBJ, Secretary Rusk, Secretary Thomas Mann, John Leddy",Asst Sec. of State
"LBJ, various African ambassadors",
"LBJ, various Asian",
Lee Udall,wife of Secretary of Interior
Legal Adviser to the State Department Herman Phleger,
"Leisure club of the church of the annunciation, Mrs. Hillyard",
Leon Cooper,WV FFA
"Leonard Marks, Ambassador Lloyd Hand, Jack Valenti, 35 Ambassadors: H.E. Sir Neville Noel Ashenheim",Jamaica
Lester Bowles Pearson,Ambassador from Canada
Levi Eshko,Prime Minister of Israel
"Lewis E. ""Lew"" Lehrman, Alexander Haig, Anita Bryant, Margaret Heckler, John Block, William Lucas, Jack Abramoff",
Lewis Williams Douglas,Director of Budget
Lieutenant,
Lieutenant Robert Henry Rice,*Sequoia* captain
"Lindy Boggs, Bethene Church, Betty Kukel, Betty Fulbright, Mrs. Catherine Bracken, Margie McNamara, Jane Freeman)",
Lloyd Hand,Chief of Protocol of the US
Lome Kennedy,Interior Department
Lord Halifax,British Ambassador to the United States
Lord Mountbatten,Chief of British Defence Staff
"Lorena Alice ""Hick"" Hickok (close friend of Eleanor Roosevelt",
"Lorena Alice ""Hick"" Hickok, Marguerite Alice ""Missy"" LeHand, Capt. Walter N. Vernou",Naval Aide
Lou Hoover,First Lady
Louis Arthur Johnson,Secretary of Defense
"Lowell P. Weicker, Jr., House Republican freshmen",
Lt. Col. William L. Golden,Military Aide
Lt. Gen. Sergey N. Antonov,Chief of Security Services of the USSR
"Lt. Tim Leonard, Ashton Gonella, Cong.",
"Lynda, Lucy, Roxanne",
Lyndon B. Johnson,D-TX
Lyndon Baines Johnson,Senate Minority Leader
Lynne Machado,
"Mahoney, Capt. Ault",Marie’s date
Major General Walter R. Tkach,Personal Physician
"Major General Walter Tkach, Lt. Cdr. T. Stephen Todd",military aide
Major H. Duncan Brown,aide-de-camp to Prince
"Major Lawson, Col. C. V. Whitney",close friend of Forrestal who landed on Iwo Jima with Forrestal
Majority Leader),
Manolo Sanchez),valet
Margaret Frances Farwell,twin nieces of Marguerite A. “Missy” LeHand
"Margaret Meyer, Jake Jacobsen, Mr.",
"Marguerite Alice ""Missy"" LeHand",Private Sec. to Pres.
"Marguerite Alice ""Missy"" LeHand, August ""Gus"" Adolph Gennerich",
"Marguerite Alice ""Missy"" LeHand, Capt Walter N. Vernou",Naval Aide
"Marguerite Alice ""Missy"" LeHand, Capt. Walter N. Vernou",Naval Aide
"Marguerite Alice ""Missy"" LeHand, Capt. Wilson Brown)",Naval Aide
"Marguerite Alice ""Missy"" LeHand, Grace G. Tully",
"Marguerite Alice ""Missy"" LeHand, Grace Tully",
"Marguerite Alice ""Missy"" LeHand, Grace Tully, Harry Hooker (Former Army Major",
"Marguerite Alice ""Missy"" LeHand, Gus A. Gennerich",Secret Service
"Marguerite Alice ""Missy"" LeHand, Lorena Alice ""Hick"" Hickok",
"Marguerite LeHand, Capt. Wilson Brown)",Naval Aide
Marianne Means,
Marie Fehmer,
"Marie Fehmer, Ginny Thrift, Jim Jones, Ashton, Mary Slater, Barry Beck, Mr.",
Marine corps band,
"Marjorie Klein, Mr",
"Marjorie, Mrs. West, Mr.",
Mark Sullivan),journalist
"Marvin Watson, Mr.",
"Mary Benedict ""Minnie"" Cushing",
Mary Ester Garner,
"Mary Jean LeTendre, Dan",
"Mary Lasker, Kay Graham, Mrs. Kitty Haynes, Nash Castro, John Secondari, Mr.",
Mary Margaret,
"Mary Rather, Susan Stevenson, LaFaye Davis, the McHughes",Simon
"Mary Slater, Lt. T. Leonard",
Maurice Hubert Stans,Secretary of Commerce
"Max Friedersdorf, Harry Hogan, John Foltz, Dennis Neal, Jim Sparling, John Maury, Robert Ryan, Paul Cyr, Ken Duberstein, Steve Kurzman, Sol Mosher, John Kyl, Mike Uhlmann, Jim Hogue, Gerald Griffin, Leighton Sattler, Hal Griffin, Robert McCloskey, Ray Warner, Fred Webber, Ed Hidalgo, Ed Arnold, Holly Cantus, Duke Zeller, Carlton Kammerer, Margaret Gaynor",
"Max L. Friedersdorf, republican counsels of the house committees",
Maxwell P. Taylor,"Chairman, Joint Chiefs of Staff"
McGeorge Bundy,U.S. National Security Advisor
member Dawes Commission),
member De Gaulle's government in exile),
members of the Navy Relief Ball Committee.,
Messrs. Colon,Secret Service
Middle Eastern ambassadors,
Mike Balzano,wife Denise
"Mike Farrell, 39 volunteers from the National Retired Teachers Association",
Mike Fenner,social aide
"Mike Mansfield, Hugh Scott, Warren Magnuson, Norris Cotton, John Sparkman, Wallace Bennett, Russell Long, John Williams)",
Miles Martinez,HI FFA
Military aide,
Minority Professional Staff Members of Standing Committees in the Senate,REPUBLICAN & DEMOCRAT
Miss Ainsley Gotto,Private secretary to prime minister
Miss Anne Carter Greene,
Miss Carol Billone,
"Miss Donelly, Capt. Walter N. Vernou",Naval Aide
"Miss Eleanore Peirce, Mr. O.J. Sands, Mr. Roger Coolidge, Mr. Douglas Hall",
Miss Enud Sztanko,Georgetown foreign language instructor
"Miss Ethel DuPont, Mrs. Scheider",Private Secretary to Eleanor Roosevelt aka Malvina “Tommy” Thompson Schneider
Miss Grace G. Tully,Assistant to Missy LeHand
Miss Grace Tully,
Miss Helen Early,Stephen Early’s daughter
Miss Jane Dixon,New York Telegram?
Miss Joan Fechteler,daughter of Chief of Naval Operations
"Miss Leila Peoples, Mr. Fielding L. Williams, Mr. O.T. Jamerson",
"Miss Lindsey, Mr. Bob Walker, Mr. Oden",
Miss Marion Dickerman (suffragist,
"Miss Mary D. Cook, Mr.",
Miss Mary Holmes,
Miss Mary White,
Miss Mayer,
Miss Nancy Cook (close friend,
Miss Paula Tully,Grace Tully’s sister who also worked in the White House
Miss Robins,
Miss Rose Mary Woods,
"Miss Sallie Gardner, Mr. John Wilkins, Lt. Cmdr. Aaron S. Merrill “Tip”",Aide to Asst Sec. Roosevelt
"Miss Sonja “Mimsy” Lie (Jonas Lie’s daughter, Col. Louis M. Howe",Secretary to the President
Miss Virginia Voeth,
"Miss Woods, Mr. Bebe Rebozo",
Misses Barbara Jane “Babe”,
"MMW , Bob Waldron",Secretary to LBJ
Molly Goodwin,a physical education teacher at the Todhunter School
Mr.,
Mr. Albert H. Gordon,"President, Kidder, Peabody & Co., Inc., NYC"
"Mr. and Mrs. Emmet Riordan, Alan Boyd",Secretary of Transportation
Mr. and Mrs. Jack Valenti,Mary Margaret
"Mr. B. McFadden, Marguerite Alice ""Missy"" LeHand, Col. Louis Howe",Secretary to the President
"Mr. Barlow, Mr. Rowlston, Col. Louis M. Howe",Secretary to the President
Mr. Clarence John Boettinger,
Mr. Clark,Secret Service
Mr. Clement L. Hirsch,"Newport, California"
Mr. Douglas Hall came aboard.,
"Mr. Douglas Hall, Mrs. Woodrow Wilson",Edith Bolling Wilson
Mr. Ed Flynn,
"Mr. Edgar W. Brown, Jr.","Orange, Texas"
Mr. Edward Cox,
Mr. Endre Szluka,charge d’affaires of the Hungarian People’s Republic
Mr. George P. Kidd),Chargé d’affaires of Canada
Mr. Goran Bundy,Charge d’affaires of Sweden
"Mr. Grady, Marguerite Alice ""Missy"" LeHand, August ""Gus"" Adolph Gennerich",
"Mr. Haldeman, Mr. Ehrlichman, Mr. Charles Colson, Mr. Kissinger",
Mr. Harry L. Hopkins,
Mr. Hartley Howe,
"Mr. Henry Salvatori, Sr.","President, Grant Oil Tool Co., Los Angeles, California"
Mr. Henry Wallace,Secretary of Agriculture
Mr. Herbert W. Kalmbach,"Lawyer, Newport, California"
Mr. Homer S. Cummings,Attorney General
Mr. Ingvi S. Ingvarsson,charge d’affaires of Iceland
Mr. Ion Baschiru,charge d’affaires of the Socialist Republic of Romania
Mr. James Roosevelt,
"Mr. James Roosevelt and Mrs. James Roosevelt (Betsey Roosevelt, née Cushing",and later Whitney
Mr. Jefferson Patterson,State Department
Mr. John A. Mulcahy,"President., Quigley & Co. Inc., NYC"
"Mr. John Gonella and Mrs. Ashton Gonella, nee GLASSELL (",personal secretary to the First Lady
Mr. John M. Olin,"Honorary Chairman, Olin Corp., St. Louis, Missouri"
Mr. John R. McCarl,Comptroller General
Mr. Jonas Lie),
Mr. Kinsey,State Department
Mr. Lewis Douglas,Director of the Budget
"Mr. Max Brooks, Mr.",
Mr. Morrow Roosevelt,Son of Mr. and Mrs. H.L Roosevelt
Mr. Olaf Solli,charge d’affaires of Norway
Mr. Patrick F. Power,charge d’affaires of Ireland
Mr. Ratko Brzic,Charge d’affaires of Socialist Federal Republic of Yugoslavia
Mr. Rexford Tugwell,
"Mr. Richard M. Cadawalder, Mrs. Richard M. Cadawalder","Emily Cadwalder, nee Roebling"
"Mr. Richard M. Cadwalader, Mrs. Richard M. Cadwalader","Emily Cadwalader, nee Roebling"
Mr. Richard M. Scaife,"VP, T. Mellon & Sons, Pittsburgh, Pennsylvania"
Mr. Richard R. Dupree (CEO Procter & Gamble,
"Mr. Riordan, Col.",
Mr. Robert Baker,
Mr. Robert Milligan,
"Mr. Ron Ziegler, Dwight Chapin, William E. Timmons)",
Mr. Stephen Early,
Mr. Terry Howe,state dept protocol
Mr. Towslee,Secret Service
"Mr. Trobridge Roosevelt, Eleanor Roosevelt",First Lady
Mr. Walter Sargent,state dept special agent
"Mr. William C. Liedtke, Jr.","President, Pennzoil United, Inc., Houston, Texas"
Mrs Paul Fay,"Anita Fay, nee"
Mrs. Ackley,wife of Economic Planning Chief
"Mrs. Al Ullman, Mr.",
"Mrs. Alan Boyd, Mahon grandchildren, Mr.",
"Mrs. Albert Rippie, Kathie Berger, Mr.",
"Mrs. Alfred Friendly, Mrs. G. Peter Shirus",Rosemary
"Mrs. Allen D. Randolph, Mr. O.F. Jamerson, Mrs. Fielding L. Williams",
"Mrs. Allen, J.N. Lyons, Henry Kirke Cushing, Mary Cushing, Marvin H. McIntyre",Presidential Secretary
Mrs. Anderson,"Elizabeth “Lizzy” Anderson, née Haskew"
"Mrs. Anthony Biddle, Mr.",
"Mrs. Arch McKinlay, Mr.",
Mrs. Arthur Krim,Mathilde Krim
Mrs. Aubrey Boozer,Yolanda
"Mrs. Aubrey Boozer, Mr.",
"Mrs. Aubrey Boozer, Mrs. Juanita Roberts, Mr.",
Mrs. Baker,"Mary Baker, née Howe"
"Mrs. Barber Conable, Mr.",
Mrs. Barefoot Sanders,Jan Sanders
"Mrs. Barefoot Sanders, Cong.",
"Mrs. Barefoot Sanders, Hon.",
"Mrs. Barefoot Sanders, Mr.",
"Mrs. Barry Locke, Mr.",
"Mrs. Baxter Omohundro, Mr.",
"Mrs. Beatty, Adlai Stevenson",
"Mrs. Bert Tollefson, Mr.",
Mrs. Betty Gibbs,Attache on British Embassy staff
Mrs. Bill Brock,Laura Handly
Mrs. Bill Henry,husband- Chmn of FCC
Mrs. Bill Moyers,Judith Davidson Moyers
"Mrs. Bill White, Cong.",
"Mrs. Bill White, Mary Lasher, Marianne \[X\]",
"Mrs. Bill White, Mr.",
Mrs. Birch Bayh,Marvella Bayh
"Mrs. Bob Linder, Mr.",
Mrs. Boettiger (Anna Roosevelt Dall Boettiger Halstead \- Daughter of FDR,
"Mrs. Bristol, Mr.",
"Mrs. Cal Brumley, Mr.",
Mrs. Carl Albert,Mary Harmon
"Mrs. Carl Albert, Cong.",
"Mrs. Carl T. Curtis, Congressman",
Mrs. Charles L. Bartlett),"wife, wife"
"Mrs. Christian, Jerry Jones, Diana Gwinn, Mr.",
"Mrs. Clarence Brown, Mr.",
Mrs. Claude A. Swanson,"Lulie Swanson, née Lyons"
"Mrs. Clifton Carter, Mr.",
"Mrs. Clinton Anderson, Secretary",
"Mrs. Conde del Rivero, Georgina Mendez DeVigo, Edelberto Farres, Angel Garri, Guillermo Perez Lavielle, Agustin Lazo, Arterra M. Manas, Hugo Mamelis, Ceferino Martinez, Julio Mederos, Benigno Rodriguez Sanchez, E.W. Reed, J.C. Holmes, J.H. Lord, Paul Daniels, J. Flexer, H. Trueblood.",
Mrs. Connor,wife of Secretary of Commerce
Mrs. Cushing,"Katharine Stone Cushing, née Crowel"
"Mrs. Dan Henkin, Mr.",
Mrs. Daniel Brewster,Carole Leiper DeHavenon
"Mrs. Dave Hoopes, Mr.",
Mrs. David Eisenhower,Julie Nixon
Mrs. Davis,Eunice M. Davis
Mrs. Dick Bird,
"Mrs. Dick Cheney, Lee Goodell, Brenda Williams, Phyllis Luther, Pete Roussel, Judy Wilson, Mr.",
"Mrs. Dixon Donnelly, Mr",
"Mrs. Don Rumsfeld, Mr.",
"Mrs. Donald H. Rumsfeld, Mr.",
Mrs. Donald MacArthur,Catherine
Mrs. Donner Roosevelt,ex-wife of Elliot Roosevelt
Mrs. Dulles),wife of Secretary of State
"Mrs. Earl Bell, Junior Girl Scout Troop \#364",
Mrs. Early,"Helen Early, née Wrenn"
Mrs. Ed Edmondson),
"Mrs. Ed Hower, Sen.",
Mrs. Edward F. Cox,Tricia Nixon
Mrs. Edward H. Levi,wife
"Mrs. Elizabeth Macbeth, Mr.",
Mrs. Emmet Riordan,
"Mrs. Emmet Riordan, Diana Heiges, Kevin Delaney, Jim Jones, Olivia Barclay",
"Mrs. Emmet Riordan, Diana McArthur, John",
"Mrs. Emmet Riordan, Hon.",
"Mrs. Emmet Riordan, Mr.",
"Mrs. Emmett Riordan, Mr.",
"Mrs. Ernest Goldstein, Mr.",
Mrs. Fechteler,"Goldye Fechteler, née Stevens"
"Mrs. Flanigan, SEC members",
Mrs. Fletcher,"Martha Fletcher, née Richards"
Mrs. Flynn,"Helen Margaret Flynn, née Jones"
Mrs. Fowler,wife of Secretary of Treasury
"Mrs. Frank Russell, Lynda, Pam",
Mrs. Fred Grandy,"Jan Gough, div."
"Mrs. Fred Ursomarso, Mr.",
Mrs. Freeman,wife of Secretary of Agriculture
Mrs. Fulbright,"Elizabeth “Betty” Fulbright, nee Williams"
Mrs. Gale McGee,Lorainne Baker
"Mrs. Gale McGee, Cong.",
Mrs. George Christian),
"Mrs. George Mahon & 2 grandchildren, Diana Heiges, Sybil Dickinson & niece",Mary Terrall
"Mrs. George Mahon, Cong.",
"Mrs. George Mahon, Diana Heiges, Mary Rather, Mrs. Claudia Marsh, (Ctj talked with Lynda",
"Mrs. George Mahon, Mr.",
"Mrs. George Mahon, Secretary",
"Mrs. George R. Creel, Alex Troffey",
"Mrs. George Reedy, Judge",
"Mrs. Gerald Ford, Mrs. Lindy Boggs",
"Mrs. Hale Boggs, Cong.",
"Mrs. Harry Middleton, Mrs. Earle Deathe",
Mrs. Henry Fowler,
Mrs. Henry Jackson,Helen Hardin
"Mrs. Henry Miller, Mrs. Carolyn Martin",
"Mrs. Herman Schneebeli, Mr.",
Mrs. Hopkins,"Barbara Hopkins, née Duncan"
"Mrs. Horace Busby, Mr.",
Mrs. Hugh Scott,Marian Huntington Chase
"Mrs. Hugh Scott, Congressman",
"Mrs. Hugh Scott, Representative",
"Mrs. Hughes, Shelley Scarney",
"Mrs. Irving Sprague, Cong.",
"Mrs. Isabella S. Greenway, Eugene R. Black",Governor of the Federal Reserve Bank of Atlanta
Mrs. J. J. Pickle,
"Mrs. J. J. Pickle, Mr.",
"Mrs. J.J. Pickle, Cong.",
"Mrs. J.J. Pickle, Mary Rather, Marie Fehmer",
"Mrs. J.J. Pickle, Mr.",
"Mrs. J.J. Pickle, Prime Minister",
Mrs. Jack Brooks),
Mrs. Jack Landau),
Mrs. Jack Valenti,
"Mrs. Jake Jacobsen, Mr.",
Mrs. James,Jim
Mrs. James Cross,Marie Cross
"Mrs. James Henderson, Mr.",
Mrs. James Roosevelt,Betsey Cushing Roosevelt Whitney
"Mrs. Jean Daniel, Mr. Simon McHugh",
"Mrs. Jerry Pettis, Representative",
Mrs. Jerry Williams),
"Mrs. Jim Connor, Mr.",
"Mrs. Jim Webb, Clark Clifford, Mr.",
Mrs. Jim Wright,Texas
"Mrs. Jim Wright, Mr.",
"Mrs. Joe Califano, Cong.",
"Mrs. Joe Dawson, Mr.",
"Mrs. Joe Laitin, Mr.",
Mrs. John B. Anderson,"wife, wife"
Mrs. John C. Gorton of Australia,Bettina Gorton
"Mrs. John Dingell, Mr.",
Mrs. John Gonella,
"Mrs. John Gonella, Cong.",
"Mrs. John Gonella, Hon.",
"Mrs. John Gonella, Jim Jones, Margaret Meyer, Cong.",
"Mrs. John Gonella, Mr.",
Mrs. John Greenway,"Rep. Isabella Greenway, née Selmes"
"Mrs. John Harris, Mr.",
Mrs. John J. McFall,wife
Mrs. John J. Rhodes,Betty Harvey
"Mrs. John J. Rhodes, Mr.",
"Mrs. John Macy, Mr.",
Mrs. John Marsh,
"Mrs. John McFall, Mr.",
Mrs. John O. Marsh Jr.,wife
"Mrs. John Pastore, Mr.",
"Mrs. John Sparkman, Representative",
"Mrs. John Young, Mr.",
"Mrs. John Young, Mrs. Johnson",
Mrs. Johnson,"Ruth Johnson, née Maxwell"
"Mrs. Johnson, Mrs. Inonu, 25 guests: Mrs. Rusk, Billy Marcus, Jane Berkley, Carrie Davis",
"Mrs. Joseph A. Loftus, Mr.",
"Mrs. Josephine “Fifi” Laimbeer Fell, Clint Hill",Secret Service
"Mrs. Julian Scheer, Mr.",
Mrs. Knox,Annie Reid Knox
"Mrs. Larry Levinson, Lynda Bird",
"Mrs. Larry Levinson, Mr.",
"Mrs. Larry Levinson, Mrs. Willard Deason",
Mrs. Larry Temple,
"Mrs. Larry Temple, George Christian)",
"Mrs. Lawrence O’Brien, Mr.",
"Mrs. Leonard Marks, Mr.",
Mrs. Les Carpenter,Liz Carpenter
Mrs. Leslie Carpenter,Liz Carpenter
"Mrs. Leslie Carpenter, Mr.",
"Mrs. Lew Schollenberger, Mr.",
"Mrs. Longworth, Stewart Symington, Mme. Soong, Gen. Lindemann",British Embassy
"Mrs. Louella Dirksen, other prominent Congressional leaders",
Mrs. Louis Howe,"Grace Howe, nee Hartley"
"Mrs. M.L. Oden, Mr. G. Hall",
"Mrs. Martins, daughter of Brazilian Ambassador, Mr. Jesse Jones",
"Mrs. Marvin Watson, Cong.",
"Mrs. Marvin Watson, Mr.",
"Mrs. Mary Beck, Mark Beck",Mary Beck’s brother-in-law
"Mrs. Max Friedersdorf, Mr.",
"Mrs. Max L. Friedersdorf, Frank G. Zarb, Alan Greenspan",
Mrs. McGee,
Mrs. McHugh,
Mrs. McNeill,"Olga McNeil, née Harris"
Mrs. Meier,Eleonora Meier?
"Mrs. Mike Farrell, Mr.",
Mrs. Mike Mansfield,
"Mrs. Mike Monroney, Mr.",
"Mrs. Mildred Stegall, Mr.",
Mrs. Mitchell,
"Mrs. Mortimer, Misses Marya, Cippoli, Mary Holmes, Mr. Stephen Early",White House Press Secretary
Mrs. Moss Hart,Kitty Carlisle
Mrs. Nell Yates,
Mrs. Nelson A. Rockefeller,
"Mrs. Nelson Rockefeller, Mrs. Thomas G.",Janet
Mrs. Nixon,FLOTUS
Mrs. Nu,"Mya Yi, wife of Premier of Burma"
"Mrs. Orville Freeman, Mr.",
"Mrs. Pat Nixon, 39 Meridian Hill Park Community Area kids between 8-14, 4 teenage aides, 4 supervisors from Summer in the parks program. All of the kids were from the Dunbar Community School for the blind.",
Mrs. Patrick J. Buchanan,White House receptionist
Mrs. Paul Rogers),
Mrs. Peoples,
"Mrs. Philip Nichols, Hon.",
Mrs. Phillip Burton,wife
Mrs. Phleger,Mary Elena Phleger
Mrs. Ralph Ofstie,
"Mrs. Ramsey Clark, Cong.",
"Mrs. Ramsey Clark, Mr.",
"Mrs. Ray Roberts, Mr.",
"Mrs. Red Cavenay, Mr.",
"Mrs. Richard L. Phillips, Mr.",
Mrs. Richard Soloman,NSC
Mrs. Riordan,Marianne Means
"Mrs. Riordan, Mr.",
"Mrs. Robert Goldwin, Mr.",
Mrs. Robert Griffin,
Mrs. Robert H. Michel,wife
"Mrs. Robert Hardesty, Mr.",
"Mrs. Robert J. McCloskey, Mr.",
Mrs. Robert Lowkon,
Mrs. Robert Michel,Corinne Woodruff
"Mrs. Robert Smalley, Mr.",
Mrs. Robinson,"Ewilda “Billy” Grady Robinson, née Miller"
Mrs. Roger E. Johnson,
"Mrs. Rosemary Sullivan, Eugene Sullivan",WH legal staff
Mrs. Rusk,wife of Secretary of State
"Mrs. Rusk, King Bhumibol",King of Thailand
Mrs. Schroeder,Sec. to Eleanor
Mrs. Simon McHugh,
"Mrs. Simon McHugh, Capt. Barry Beck, Mary Slater, Mr.",
"Mrs. Simon McHugh, Frances McCammon, Mr.",
"Mrs. Simon McHugh, Franny McCammon, Mr.",
"Mrs. Simon McHugh, Mary Rather",
"Mrs. Simon McHugh, mf. Jim Jones, John Criswell, Cong.",
"Mrs. Simon McHugh, Mr.",
"Mrs. Simon McHugh, Sen.",
Mrs. Stevens,Dorothy Stevens
"Mrs. Stewart Udall, Cong.",
Mrs. Symington,wife of SEN-MO
"Mrs. Terry O’Donnell, Mr.",
"Mrs. Thomas Morgan, Representative",
Mrs. Thomas P. O’Neill,wife
"Mrs. Thornberry, Bob Waldron MMW, Jean",
Mrs. Tom Johnson),
Mrs. Tricia Cox,
"Mrs. Trudy Fry, Sarah Currence, Eleanor Connors. Mr.",
Mrs. Tugwell,"Florence Tugwell, née Arnold"
"Mrs. Vicky McHugh, Capt. Barry Beck",
"Mrs. Victor Gruen, Frederick Gutheim, Francis Lethridge",
"Mrs. Walt Rostow, John Criswell, Cong.",
"Mrs. Walt Rostow, Lynda",in white satin harem pants
"Mrs. Walt Rostow, Mr.",
"Mrs. Walt Rostow, Warren Woodward, Bess",
"Mrs. Walter Mazan, Mr.",
Mrs. Warren Magnuson,
Mrs. Warren Robbins,"Irene Delano Robbins, née de Bruyn"
"Mrs. Warren Rustand, Mr.",
Mrs. Willard Deason,
"Mrs. Willard Deason, Cong.",
"Mrs. Willard Deason, John Macy","Chairman, Civil Service Comm"
"Mrs. Willard Deason, Mr.",
"Mrs. William Glasgow of Chestnut Hill, PA, Mrs Margaret Wright of Newport, RI",
Mrs. William H. Crook),
"Mrs. William Mailliard, Representative",
"Mrs. William Poage, Mrs. Fleming",Mrs. Poage’s sister
Mrs. William S. White,
"Mrs. William S. White, Hon.",
"Mrs. William S. White, Joe Califano, Mr.",
"Mrs. William S. White, Mary Rather, Mr.",
"Mrs. William S. White, Mr.",
"Mrs. William S. White, Mr. Means",
Mrs. Willis Hurst,Nelie Hurst
Mrs. Wilson Brown,"Lydia Brown, nêe Ballou"
Mrs. Winslow,
Mrs. Wirtz,wife of Secretary of Labor
"Mrs. Wood, The Misses White",
Mrs. Yuk Young-soo,first lady of Korea
Mrs. Yvonne de Gaulle,
Murray Snyder,Pentagon press secretary
navy brass?,
Navy Munitions Board,
Neil McElroy,Secretary of Defense
"nephew David, Hon.",
Nguyễn Đình Thuận,Secretary of State under President Ngo Dinh Diem of South Vietnam
Nikolai S. Patolichev,Minister of Foreign Trade of the USSR
nineteen others,
Nita Louise,
Nixon,
"Nixon, Assistant Henry A. Kissinger, Major General Alexander Haig",
"Nixon, Attorney General John N. Mitchell, Assistant H.R. Haldeman",
"Nixon, Attorney General John N. Mitchell, Assistant Henry A. Kissinger, C.G. Rebozo",
"Nixon, Attorney General John N. Mitchell, Reverend Billy Graham, Mr. Haldeman, Assistant John D. Ehrlichman, Mr. Kissinger, Counselor Donald Rumsfeld, Harry Dent )",
"Nixon, C.G. Rebozo",
"Nixon, Cardinal Krol, Secretary of State William P. Rogers, Mr. Colson, Major General Alexander Haig",
"Nixon, Congressmen John N. Erlenborn",R-IL
"Nixon, Congressmen Leslie C. Arends",R-IL
"Nixon, Congressmen Omar Burleson",D-TX
"Nixon, Counsellor Robert H. Finch)",
"Nixon, Ensign",
"Nixon, family members",
"Nixon, James D. St. Clair",Special Counsel
"Nixon, Julia Eisenhower, David Eisenhower",
"Nixon, Julie Eisenhower, Edward C. Nixon, Personal Secretary Rose Mary Woods, Major General and Mrs. Haig, Special Assistant Patrick J. Buchanan, Mrs. Patrick J. Buchanan",Shelley Ann Scarney
"Nixon, Leonid Brezhnev, Secretary of State William P. Rogers, Assistant Henry A. Kissinger, Assistant Ronald L. Ziegler, Secretary of the Treasury George P. Shultz, NSC Staff Member William Hyland, Andrey A. Gromyko",Minister of Foreign Affairs of the USSR
"Nixon, Military Assistant Major John V. Brennan",
"Nixon, Mr. Alexander M. Haig, Jr.",
"Nixon, Mr. Alexander M. Haig, Jr., Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Mr. Alexander M. Haig, Jr., Major General Walter Tkach, Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Mr. Haldeman, Assistant Henry A. Kissinger, Deputy Assistant Major General Alexander M. Haig, Jr.",
"Nixon, Mr. Haldeman, Deputy Assistant Major General Alexander M. Haig, Jr.",
"Nixon, Mr. Haldeman, John N. Mitchell (attorney for Mudge, Rose, Guthrie",
"Nixon, Mr. Haldeman, Mr. Colson, Director of the Elections Research Center for the Governmental Affairs Institute, Dick Scammon",
"Nixon, Mr. Haldeman, Mr. Colson, Mr. Ehrlichman, Mr. Caspar Weinberger",
"Nixon, Mr. Haldeman, Special Consultant Leonard Garment, Assistant William E. Timmons)",
"Nixon, Mr. Harlow",
"Nixon, Mr. Henry A. Kissinger",
"Nixon, Mr. Raymond Price)",
"Nixon, Mr. Rebozo, Dr. William M. Lukash",Personal Physician
"Nixon, Mr. Rebozo, Lt. Col. William L. Golden",Military Aide
"Nixon, Mr. Ron Ziegler",
"Nixon, Mr. Ronald L. Ziegler, Lt. Cdr. T. Stephen Todd",military aide
"Nixon, Pat Nixon, Julia Nixon Eisenhower",
"Nixon, Pat Nixon, most likely Julie",
"Nixon, Pat Nixon, Mrs. John Eisenhower",Barbara Thompson
"Nixon, Secretary of Commerce Maurice H. Stans, Hon. Fred J. Russell",Undersecretary of the Interior
"Nixon, Secretary of State William P. Rogers",
"Nixon, Secretary of the Treasury John B. Connally, Director of the OMB George P. Shultz, Mr. Ehrlichman, Mr. Haldeman, Assistant Peter M. Flanigan",
"Nixon, Secretary of the Treasury John B. Connally, Mr. Haldeman, Mr. Ehrlichman, Mr. Peter Flanigan, Secretary of State William P. Rogers",
"Nixon, the First Lady Pat Nixon",
"Nixon, the First Lady Pat Nixon, Julie Eisenhower",
"Nixon, the First Lady Pat Nixon, Julie Eisenhower, Tricia Nixon, possibly Harrison H. McCall",
"Nixon, the First Lady Pat Nixon, Julie Nixon, Tricia Cox",
"Nixon, the First Lady Pat Nixon, Major General Tkach",
"Nixon, the First Lady Pat Nixon, Mr.",
"Nixon, the First Lady Pat Nixon, Mr. Rebozo",
"Nixon, the First Lady Pat Nixon, Roger E. Johnson",Assistant to the Acting Chief of Protocol
"Nixon, the First Lady Pat Nixon, Rose Mary Woods",executive assistant
"Nixon, the First Lady Pat Nixon, Tricia Cox",
"Nixon, the First Lady Pat Nixon, Tricia Nixon, Mr.",
"Nixon, the First Lady, Julie",
"Nixon, unnamed White House physician",
"Nixon, Vice President",Spiro Agnew
"Nixon, Vice President Spiro Agnew, Attorney General Mitchell, Chairman Rogers Morton, Secretary Finch)",
"Nixon, VP Spiro T. Agnew, Attorney General John N. Mitchell, Congressman Rogers Morton, Assistant H.R. Haldeman, Counselor Robert Finch)",
"Nurse Besse Williams, August ""Gus"" Adolph Gennerich",
