stg_voyage_id,title,start_date,end_date,owner,location,time_text,passengers_raw,additional_info,sources,additional_sources,notes
354,57\. 1973-09-10,1973-09-10,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:30 – 20:00,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Mr. [Alexander M. Haig, Jr.](https://en.wikipedia.org/wiki/Alexander_Haig)",dinner was served,"[1973-09-10 Nixon daily diary (p 31\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/107%20September%201-15%201973.pdf),",[1973.09.11\_NY\_Times\_Nixon\_and\_Haig\_on\_yacht\_pg39.pdf](https://drive.google.com/file/d/1LuUAVd6A2FVTR_vbTSSpikspX3e-23oV/view?usp=drive_link),
355,58\. 1973-09-11,1973-09-11,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:35 – 20:14,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), [Roger E. Johnson](https://www.washingtonpost.com/archive/local/1988/08/02/roger-johnson-retired-oil-executive-dies/898da0a6-fbf1-410e-bd33-0fb3757db487/) (Assistant to the Acting Chief of Protocol), Mrs. Roger E. Johnson, Miss [Rose Mary Woods](https://en.wikipedia.org/wiki/Rose_Mary_Woods)",dinner was served,[1973-09-11 Nixon daily diary (p 39\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/107%20September%201-15%201973.pdf),,[1971-02-23 NYT \- *‘OLD FRIEND’ IS SERVING ON NIXON’S STAFF AS A LIAISON TO BUSINESS COMMUNITY \- Page 19*](https://nyti.ms/3j8uKNK) (Roger Johnson installation article)
356,59\. 1973-09-12,1973-09-12,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:43 – 19:50,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Military Assistant Major [John V. Brennan](https://en.wikipedia.org/wiki/Jack_Brennan)",dinner was served,[1973-09-12 Nixon daily diary (p 85\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/107%20September%201-15%201973.pdf),,
357,60\. 1973-09-13,1973-09-13,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:26 – 20:15,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), [Miss Woods](https://en.wikipedia.org/wiki/Rose_Mary_Woods), Mr. [Bebe Rebozo](https://en.wikipedia.org/wiki/Bebe_Rebozo)",dinner was served,[1973-09-13 Nixon daily diary (p 87\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/107%20September%201-15%201973.pdf),,
358,1973-09-18,1973-09-18,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Potomac River,Evening,"[Charles Chamberlain](https://en.wikipedia.org/wiki/Charles_E._Chamberlain), [Max L. Friedersdorf,](https://www.legacy.com/obituaries/indystar/obituary.aspx?n=max-l-friedersdorf&pid=196283530) the ACORNS",,[1973-09-19 thank you cruise memo (box 32 subject files)](https://www.dropbox.com/s/8dlecrd6ofhzse7/1973.09.19%20thank%20you%20cruise%20memo.pdf?dl=0),[response to thank you note](https://www.dropbox.com/s/q532xvm2r1i6xf6/1973.09.27%20Chamberlain%20note.pdf?dl=0),
359,1973-09-20,1973-09-20,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",,,"stewardesses and young men for hospitals in Washington area, Lynne Grace",summer in parks cruise,[1973-09-24 summer thank you memo (box 32 subject files)](https://www.dropbox.com/s/7cvsf5xm8qu89z9/1973.09.24%20summer%20thank%20you.pdf?dl=0),,
360,61\. 1973-09-21,1973-09-21,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:30 – 20:27,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), Mr. and Mrs. [David Eisenhower](https://en.wikipedia.org/wiki/David_Eisenhower) ([Julie Nixon](https://en.wikipedia.org/wiki/Julie_Nixon_Eisenhower)), Mr. [Robert Milligan](https://journalstar.com/business/lincoln-businessman-milligan-elected-vice-chairman-of-u-s-chamber/article_b52f7ebc-a3ed-5b11-a7ea-b9ca4fd16924.html) and [Cynthia H. Milligan](https://en.wikipedia.org/wiki/Cynthia_H._Milligan) (friends of the Eisenhowers)",dinner was served,[1973-09-21 Nixon daily diary (p 25\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/108%20September%2016-30%201973.pdf),,[Mention of Milligans](https://omaha.com/local/david-eisenhower-to-speak-about-his-grandfather-and-d-day-during-visit-to-omaha/article_8229ae1b-b1ce-5819-9ed7-3629fafd5de8.html)
361,1973-09-24,1973-09-24,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Potomac River,16:00 \- 18:00,"[Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon) and [Julie Eisenhower](https://en.wikipedia.org/wiki/Julie_Nixon_Eisenhower), East Wing Staff: Ollie Atkins, Mike Farrell, Bob Genader, Jan Valentine, Joyce Adams, Dora Tennant, Cathy Barker, Gwen King, Tom McCoy, Fred Jefferson, Carol Sampson, Mary Austermiller, Margaret Boyce, Sue Smith, Jeanie Graklanoff, Joan Crotty, Diane Carroll, Sandy Fox, Bill Gemmell, Jan Ingersoll, Nancy O’Brien, John Scarfone, Alex Schiavoni, Kathy Beery, Susan Porter, Joan Stevens, Cindy Vanden Heuval, Helen Smith, Terry Ivey, Patti Matson, Penny Adams, Lucy Winchester, Pat Howard, Susan Dolibois, Chris Alberts, Clement Conger, Wilma Sands, Betty Monkman ([White House Curator](https://en.wikipedia.org/wiki/White_House_Office_of_the_Curator)), Susan Ewell, Al Johnson, Carroll Lawrence, Ed Ratti, Rita DeSantis (White House Hairdresser), Peggie Brumback, Joann Stoddard, Marti McAlister, Eva Brantley, Ann Watwood","from memo about staff cruise: “Off the record--there have been some slightly sour remarks about all the meetings, parties and briefings with Cabinet members and top White House Staff for the Summer Interns– a feeling that the staff works all the time and, well, you know.”",[1973-09-11 scheduling memo for East wing staff cruise (box 35\)](https://www.dropbox.com/s/e73ka2nakkvjk80/1973.09.11%20scheduling%20memo%20for%20East%20wing%20staff%20cruise.pdf?dl=0),"[1973-08-10 memo about staff cruise with Julie](https://www.dropbox.com/s/jarngos6gpar6v1/1973.08.10%20memo%20about%20staff%20cruise%20with%20Julie.pdf?dl=0), [Guest List](https://www.dropbox.com/s/kg8rijo0cusk53w/1973.09.24%20cruise%20guest%20list%20copy.pdf?dl=0) [https://www.findagrave.com/memorial/48666713/peggie-m-brumback](https://www.findagrave.com/memorial/48666713/peggie-m-brumback)",
362,62\. 1973-09-24,1973-09-24,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:20 – 19:50,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Mr. [Alexander M. Haig, Jr.](https://en.wikipedia.org/wiki/Alexander_Haig)","dinner was served,","[1973-09-24 Nixon daily diary (p 37\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/108%20September%2016-30%201973.pdf),",[1973.09.25\_NY\_Times\_Nixon\_on\_yacht\_with\_Haig\_pg27.pdf](https://drive.google.com/file/d/13cfuNYIIMw4QFl7oQUpYKHQQMC5yft_m/view?usp=drive_link),
363,1973-09-27,1973-09-27,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,(2 hours),"Secretary [Melvin Laird](https://en.wikipedia.org/wiki/Melvin_Laird), other former Secretaries of Defense",,[1973-09-21 memo re Laird use of Sequoia 27 Sept (box 144\)](https://www.dropbox.com/s/8conmcnqatso3ha/1973.09.21%20memo%20re%20Laird%20use%20of%20Sequoia%2027%20Sept.pdf?dl=0),Notes:,
364,1973-09-27,1973-09-27,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",,,Secretary [James Schlesinger](https://en.wikipedia.org/wiki/James_R._Schlesinger),introduce new members of DoD to congressmen,[1973-09-13 27 September DoD cruise](https://www.dropbox.com/s/ny8myc7y8tcnmec/1973.09.13%2027%20September%20DoD%20cruise.pdf?dl=0),,
365,63\. 1973-09-28,1973-09-28,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:58 – 20:27,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), Mr. and Mrs. [David Eisenhower](https://en.wikipedia.org/wiki/David_Eisenhower) ([Julie Nixon](https://en.wikipedia.org/wiki/Julie_Nixon_Eisenhower)), Mr. [Robert Milligan](https://journalstar.com/business/lincoln-businessman-milligan-elected-vice-chairman-of-u-s-chamber/article_b52f7ebc-a3ed-5b11-a7ea-b9ca4fd16924.html) and [Cynthia H. Milligan](https://en.wikipedia.org/wiki/Cynthia_H._Milligan) (friends of the Eisenhowers)",dinner was served,[1973-09-28 Nixon daily diary (p 55\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/108%20September%2016-30%201973.pdf),,
366,64\. 1973-10-02,1973-10-02,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:25 – 19:50,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Mr. [Alexander M. Haig, Jr.](https://en.wikipedia.org/wiki/Alexander_Haig), Lt. Cdr. T. Stephen Todd (military aide), Col. [Chester L. Ward](https://www.legacy.com/obituaries/dailylocal/obituary.aspx?n=chester-l-ward&pid=180476695&fhid=28393) (Assistant Physician)",dinner was served,[1973-10-02 Nixon daily diary (p 9\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/109%20October%201-15%201973.pdf),,[Chester Ward quote](http://www.arlingtoncemetery.net/wrtkach.htm)
367,65\. 1973-10-03,1973-10-03,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:42 – 20:00,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), [Major General Tkach](http://www.arlingtoncemetery.net/wrtkach.htm)",dinner was served,[1973-10-03 Nixon daily diary (p 14\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/109%20October%201-15%201973.pdf),,
368,1973-10-14,1973-10-14,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,16:00 \- 20:00,"honor the PRC liaison office by members of Congress who toured China: Senator and Mrs. [Mike Mansfield](https://en.wikipedia.org/wiki/Mike_Mansfield), Senator and Mrs. [Hugh Scott](https://en.wikipedia.org/wiki/Hugh_Scott), Representative and Mrs. [Gerald Ford](https://en.wikipedia.org/wiki/Gerald_Ford), Mrs. [Lindy Boggs](https://en.wikipedia.org/wiki/Lindy_Boggs), Senator and Mrs. [Warren Magnuson](https://en.wikipedia.org/wiki/Warren_Magnuson), Senator and Mrs. [Robert Griffin](https://en.wikipedia.org/wiki/Robert_P._Griffin), Senator and Mrs. [Gale McGee](https://en.wikipedia.org/wiki/Gale_W._McGee), Senator and Mrs. [John Sparkman](https://en.wikipedia.org/wiki/John_Sparkman), Representative and Mrs. [Thomas Morgan](https://en.wikipedia.org/wiki/Thomas_E._Morgan), Representative and Mrs. [William Mailliard](https://en.wikipedia.org/wiki/William_S._Mailliard), Representative and Mrs. [Jerry Pettis](https://en.wikipedia.org/wiki/Jerry_Pettis), Representative and Mrs. [John McFall](https://en.wikipedia.org/wiki/John_J._McFall), Mr. and Mrs. [Richard Soloman](https://en.wikipedia.org/wiki/Richard_H._Solomon) (NSC), State Department Representative Mr. [Tom Korologos](https://en.wikipedia.org/wiki/Tom_C._Korologos) and wife, 11 PRC delegation (chosen by Ambassador)",drinks and buffet,[1973-10-04 request for Sequoia use for PRC approval (box 144\)](https://www.dropbox.com/s/za1biw17o40daql/1973.10.04%20request%20for%20Sequoia%20use%20for%20PRC%20approval.pdf?dl=0),,
369,1973-10-15,1973-10-15,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,,"[Stan Scott](https://www.nytimes.com/1992/04/07/obituaries/stanley-s-scott-59-nixon-and-ford-aide.html),",memo in archives folder 144,[1973-10-09 15 Oct Stan Scott cruise request](https://www.dropbox.com/s/ephphhtz5qxlhuf/1973.10.09%2015%20Oct%20Stan%20Scott%20cruise%20request.pdf?dl=0),,
370,66\. 1973-10-18,1973-10-18,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:18 – 19:30,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon)",dinner was served,[1973-10-18 Nixon daily diary (p 16\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1973/110%20October%2016-31%201973.pdf),,
371,67\. 1974-04-19,1974-04-19,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:21 – 19:20,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), unnamed White House physician and Military aide",,[1974-04-19 Nixon daily diary (p 15\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/122%20April%2016-30%201974.pdf),*[1974.04.21\_Baltimore\_Sun\_Nixon\_mulls\_subpoenas\_at\_retreat\_pgA3.pdf](https://drive.google.com/file/d/1o_d8WOCkcUj6dPkplBsRoBvpZ7tvKFUt/view?usp=drive_link)* *[1974.04.25\_Democrat\_and\_Chronicle\_Nixon\_retain\_tapes\_pg11A.pdf](https://drive.google.com/file/d/1j56lREiaazm7GlKpPGOKrKFnyYau2MJQ/view?usp=drive_link)*,"*Baltimore Sun* says “Instead of heading back to the White House when the Yacht docked, he drove to the suburban Bethesda (Md.) home of his daughter, Julie Eisenhower. There he joined Mrs. Nixon, and together they drove late Friday night to Camp David. Aides said Mr. Nixon, who was not accompanied by any of his principal advisers, probably would return to the White House tonight (1974-04-21).”"
372,68\. 1974-04-21,1974-04-21,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:09 – 19:53,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Julia Eisenhower, David Eisenhower",,[1974-04-21 Nixon daily diary (p 17\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/122%20April%2016-30%201974.pdf),[1974.04.25\_Democrat\_and\_Chronicle\_Nixon\_retain\_tapes\_pg11A.pdf](https://drive.google.com/file/d/1j56lREiaazm7GlKpPGOKrKFnyYau2MJQ/view?usp=drive_link),
373,69\. 1974-04-23,1974-04-23,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:30 – 19:54,[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon),,[1974-04-23 Nixon daily diary (p 23\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/122%20April%2016-30%201974.pdf),,
374,70\. 1974-04-25,1974-04-25,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:26 – 19:50,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), General [Alexander M. Haig, Jr.](https://en.wikipedia.org/wiki/Alexander_Haig)",The possibility of a nationwide television address on Monday \[1974-04-29\] was reportedly raised,"[1974-04-25 Nixon daily diary (p 26\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/122%20April%2016-30%201974.pdf),","[1974.04.27\_NY\_Times\_Nixon\_is\_expected\_to\_ask\_public\_aid\_in\_tapes\_dispute\_pg65.pdf](https://drive.google.com/file/d/1T9pkIyX_Qwu2F-uTxmZZs9SCZXUV1Aqb/view?usp=drive_link)[*DISPUTE \- Page 1, 12*](https://nyti.ms/3A1My4e)",
375,71\. 1974-05-06,1974-05-06,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:24 – 19:49,[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon),,[1974-05-06 Nixon daily diary (p 26\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/123%20May%201-15%201974.pdf),,
376,72\. 1974-05-08,1974-05-08,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:35 – 19:50,[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon),,[1974-05-08 Nixon daily diary (p 29\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/123%20May%201-15%201974.pdf),[Baltimore sun article from 11th references this cruise too](https://www.dropbox.com/s/9gb98jyntj2p9tm/1974%3A05%3A11%20Baltimore%20Sun-%20Nixon%20cruises%20again.pdf?dl=0),
377,73\. 1974-05-10,1974-05-10,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,17:44 – 19:36,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), family members",,[1974-05-10 Nixon daily diary (p 47\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/123%20May%201-15%201974.pdf),"[1974.05.11\_Baltimore\_Sun\_Nixon\_cruises\_again\_pgA10.pdf](https://drive.google.com/file/d/1oSuf6-RFqj6SyCPW4Y5_muMbv7PcPL0a/view?usp=drive_link), [1974.05.11\_LA\_Times\_Nixon\_takes\_family\_for\_Potomac\_cruise\_pg10.pdf](https://drive.google.com/file/d/1rEHSRX-l79dhDzONyrh86QR4WSUkd50X/view?usp=drive_link)",
378,74\. 1974-05-10,1974-05-10,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,17:40 – 19:45,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), Mr. and Mrs. [David Eisenhower](https://en.wikipedia.org/wiki/David_Eisenhower) ([Julie Nixon](https://en.wikipedia.org/wiki/Julie_Nixon_Eisenhower)), [Mr. Edward Cox](https://en.wikipedia.org/wiki/Edward_F._Cox) and Mrs. [Tricia Cox](https://en.wikipedia.org/wiki/Tricia_Nixon_Cox)","NYT article references trip, impeachment discussion","[Nixon Daily Diary 1974, May 1-15](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/123%20May%201-15%201974.pdf)",[1974.05.12\_NY\_Times\_Nixon\_preparing\_to\_fight\_to\_end.pdf](https://drive.google.com/file/d/11pW8MVCy6t49BcjgFKq9vhfuNgomg8n7/view?usp=drive_link),
379,75\. 1974-05-14,1974-05-14,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,17:46 – 19:31,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Congressmen [Leslie C. Arends](https://en.wikipedia.org/wiki/Leslie_C._Arends) (R-IL), [Samuel L. Devine](https://en.wikipedia.org/wiki/Samuel_L._Devine) (R-OH), [Elford A. Cederberg](https://en.wikipedia.org/wiki/Elford_Albin_Cederberg) (R-MI), [Glenn R. Davis](https://www.congress.gov/member/glenn-davis/D000102?searchResultViewType=expanded) (R-WI), [Robert H. Michel](https://en.wikipedia.org/wiki/Robert_H._Michel) (R-IL), [Joe D. Waggonner, Jr.](https://en.wikipedia.org/wiki/Joe_Waggonner) (D-LA), [Olin E. Teague](https://en.wikipedia.org/wiki/Olin_E._Teague) (D-TX), [F. Edward Herbert](https://en.wikipedia.org/wiki/F._Edward_H%C3%A9bert) (D-LA), [Richard H. Ichord](https://en.wikipedia.org/wiki/Richard_Howard_Ichord_Jr.) (D-MO), and [William E. Timmons](https://en.wikipedia.org/wiki/William_Timmons_\(lobbyist\)) (assistant)","cocktails, dinner of crab claws, filet and corn on the cob",[1974-05-14 Nixon daily diary (p 59\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/123%20May%201-15%201974.pdf);,"[1974.05.16\_Chicago\_Tribune\_Won't\_resign\_Nixon\_tells\_Congressmen\_pg21.pdf](https://drive.google.com/file/d/1ljf7A5AJhDuQYbVnmOTkcOyknMLFqa4p/view?usp=drive_link), [1974.05.18\_Washington\_Post\_Nixon\_defenders\_speak\_out\_pgA1.pdf](https://drive.google.com/file/d/1WgZf7tTkFxF1HhlMNkBwtIfcMjYNHEs1/view?usp=drive_link) [1974.05.19\_Chicago\_Tribune\_Nixon\_spends\_weekend\_planning\_strategy\_pg5.pdf](https://drive.google.com/file/d/1QX1Zxyp1EPegW9Jm6dkvJuKXgTRp5UKX/view?usp=drive_link) [Time magazine article](http://content.time.com/time/subscriber/article/0,33009,911271,00.html)",(RMN) (MV)
380,76\. 1974-05-21,1974-05-21,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard – Mount Vernon (fly via helicopter to WH),18:24 – 20:22,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), [James D. St. Clair](https://en.wikipedia.org/wiki/James_D._St._Clair) (Special Counsel), [J. Fred Buzhardt, Jr.](https://en.wikipedia.org/wiki/J._Fred_Buzhardt) (Counsel), [Alexander M. Haig, Jr.](https://en.wikipedia.org/wiki/Alexander_Haig) (Assistant)",dinner was served,[1974-05-21 Nixon daily diary (p 15\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/124%20May%2016-31%201974.pdf),[1974.05.19\_Chicago\_Tribune\_Nixon\_spends\_weekend\_planning\_strategy\_pg5.pdf](https://drive.google.com/file/d/1QX1Zxyp1EPegW9Jm6dkvJuKXgTRp5UKX/view?usp=drive_link) [1974.05.22\_Washington\_Post\_Nixon\_Counsel\_take\_boat\_ride\_pgA8.pdf](https://drive.google.com/file/d/1j9IQePkmW4jDRDlFzM0tQT8Y-vQPj9Tz/view?usp=drive_link),
381,77\. 1974-05-28,1974-05-28,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:15 – 19:47,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), [Rose Mary Woods](https://en.wikipedia.org/wiki/Rose_Mary_Woods) (executive assistant), [Patrick J. Buchanan](https://en.wikipedia.org/wiki/Pat_Buchanan) (Special Consultant), Mrs. Patrick J. Buchanan (White House receptionist)",,[1974-05-28 Nixon daily diary (p 33\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/124%20May%2016-31%201974.pdf),,
382,78\. 1974-05-29,1974-05-29,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:24 – 20:00,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), Congressmen [Omar Burleson](https://en.wikipedia.org/wiki/Omar_Burleson) (D-TX), [Barber B. Conable, Jr.](https://en.wikipedia.org/wiki/Barber_Conable) (R-NY), [W.C. Daniel](https://en.wikipedia.org/wiki/Dan_Daniel_\(politician\)) (D-VA), [Edward J. Derwinski](https://en.wikipedia.org/wiki/Ed_Derwinski) (R-IL), [William L. Dickinson](https://en.wikipedia.org/wiki/William_Louis_Dickinson) (R-AL), [Craig Hosmer](https://en.wikipedia.org/wiki/Craig_Hosmer) (R-CA), [Dan H. Kuykendall](https://en.wikipedia.org/wiki/Dan_Kuykendall) (R-TN), [G.V. “Sonny” Montgomery](https://en.wikipedia.org/wiki/Sonny_Montgomery) (D-MS), [Otto E. Passman](https://en.wikipedia.org/wiki/Otto_Passman) (D-LA), [Robert L.F. Sikes](https://en.wikipedia.org/wiki/Bob_Sikes) (D-FL), [John W. Wydler](https://en.wikipedia.org/wiki/John_W._Wydler) (R-NY), and [Alexander M. Haig, Jr](https://en.wikipedia.org/wiki/Alexander_Haig). (assistant), [William E. Timmons](https://en.wikipedia.org/wiki/William_Timmons_\(lobbyist\)) (assistant)","served Chateaubriand, mushrooms, peas, and spaghetti. Sequoia matchboxes given out","[1974-05-29 Nixon daily diary (p 37\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/124%20May%2016-31%201974.pdf), [Wydler thank you](https://www.dropbox.com/s/05mdn8fc28mmurr/1974.05.30%20Wydler%20thank%20you.pdf?dl=0)",*[1974.05.31\_NY\_Times\_Nixon\_says\_he\_would\_quit\_if\_guilty\_pg9.pdf](https://drive.google.com/file/d/1q8v9XxKxZQ0OGKIgSDTgiUTQ-ZMd9-g6/view?usp=drive_link)* *[1974.06.02\_Chicago\_Tribune\_Nixon\_uses\_yacht\_on\_Potomac\_as\_a\_private\_think\_tank\_pg2.pdf](https://drive.google.com/file/d/1K99Bj18vdsjg6lE5rVrsDQmNOIugA2Lb/view?usp=drive_link)* *[1974.06.03\_Democrat\_and\_Chronicle\_Dont\_Pass\_the\_buck\_pg6A.pdf](https://drive.google.com/file/d/10nu_rQNFgnl3OQ8SGftkWYzdQtwOWzFN/view?usp=drive_link)* *[1974.06.03\_Ithaca\_Journal\_Nixon\_plays\_a\_dinner\_host\_pg10.pdf](https://drive.google.com/file/d/1sc24bE6bXoIRUabh2ynH3X5kgPuVSwGJ/view?usp=drive_link)* *[1974.06.03\_The\_Pensacola\_News\_at\_Newspapers.com\_pg8.pdf](https://drive.google.com/file/d/1fWxhKR9DJSmfgHpxlz5KWNCnDDxnBZNe/view?usp=drive_link)* *[1974.06.03\_Washington\_Post\_congressional\_dinner\_aboard\_Sequoia\_pgB13.pdf](https://drive.google.com/file/d/1vqcA8lIVk4L4BglJttBEzxJvr5M9nHo_/view?usp=drive_link)*,
383,79\. 1974-06-03,1974-06-03,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:22 – 19:53,[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon),,[1974-06-03 Nixon daily diary (p 8\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/125%20June%201-15%201974.pdf),,
384,80\. 1974-06-04,1974-06-04,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Washington Navy Yard,18:50 – 20:10,[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon),,[1974-06-04 Nixon daily diary (p 10\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/125%20June%201-15%201974.pdf),,
385,81\. 1974-06-06,1974-06-06,,"Richard Nixon (January 20, 1969 to August 8, 1974\)",Potomac River,18:14 – 19:42,"[Nixon](https://en.wikipedia.org/wiki/Richard_Nixon), the [First Lady Pat Nixon](https://en.wikipedia.org/wiki/Pat_Nixon), [Tricia Cox](https://en.wikipedia.org/wiki/Tricia_Nixon_Cox)",dinner cruise.,[1974-06-06 Nixon daily diary (p 17\)](https://www.nixonlibrary.gov/sites/default/files/virtuallibrary/documents/PDD/1974/125%20June%201-15%201974.pdf),[1974.06.07\_Baltimore\_Sun\_Nixon\_takes\_cruise\_flies\_to\_Camp\_David\_pgA7.pdf](https://drive.google.com/file/d/1kBg8Ou7XNHesWkwb0Fh_7ndSFgNKpO56/view?usp=drive_link) [1974.06.07\_LA\_Times\_Nixon\_takes\_cruise\_pgE4.pdf](https://drive.google.com/file/d/1HQ8CY-sQZI9Pxi57UaTpoyFgwgxokv9N/view?usp=drive_link),
